,baseline_share,recent_share,change
Consumer Finance,0.008173274347440349,0.008079615760338651,-9.365858710169706e-05
Dental,0.0017545432842050062,0.0015060240963855422,-0.00024851918781946397
NLP,0.0020265884800666264,0.0016891891891891893,-0.0003373992908774371
Fashion,0.0004562043795620438,0.0,-0.0004562043795620438
Microfluidics,0.0004562043795620438,0.0,-0.0004562043795620438
Recommendation System,0.0004562043795620438,0.0,-0.0004562043795620438
GraphQL,0.0004562043795620438,0.0,-0.0004562043795620438
Telemedicine,0.0004562043795620438,0.0,-0.0004562043795620438
No-code,0.008745772353681196,0.008262780853142299,-0.0004829915005388971
Data Labeling,0.0049497213882263935,0.004457839548200994,-0.0004918818400253995
Chatbots,0.000502008032128514,0.0,-0.000502008032128514
Sustainability,0.000502008032128514,0.0,-0.000502008032128514
Rocketry,0.000502008032128514,0.0,-0.000502008032128514
Quantum Computing,0.0005040322580645161,0.0,-0.0005040322580645161
Mobility,0.0005040322580645161,0.0,-0.0005040322580645161
Nanosensors,0.0005040322580645161,0.0,-0.0005040322580645161
Swarm Robotics,0.0005040322580645161,0.0,-0.0005040322580645161
Mining,0.0005040322580645161,0.0,-0.0005040322580645161
Lidar,0.0005040322580645161,0.0,-0.0005040322580645161
Reviews,0.0005040322580645161,0.0,-0.0005040322580645161
AI-powered Drug Discovery,0.0035274455972774304,0.0030120481927710845,-0.0005153974045063459
Food & Beverage,0.0020309966995268342,0.0015060240963855422,-0.000524972603141292
Bioplastic,0.0005341880341880342,0.0,-0.0005341880341880342
Carbon Capture and Removal,0.0005341880341880342,0.0,-0.0005341880341880342
Unmanned Vehicle,0.0005341880341880342,0.0,-0.0005341880341880342
Robotic Surgery,0.0005341880341880342,0.0,-0.0005341880341880342
Auto Commerce,0.0005341880341880342,0.0,-0.0005341880341880342
Careers,0.0005341880341880342,0.0,-0.0005341880341880342
Commercial Space Launch,0.0005341880341880342,0.0,-0.0005341880341880342
NFT,0.0005341880341880342,0.0,-0.0005341880341880342
Ghost Kitchens,0.0005341880341880342,0.0,-0.0005341880341880342
Nonprofit,0.0005341880341880342,0.0,-0.0005341880341880342
Metaverse,0.0005341880341880342,0.0,-0.0005341880341880342
Food,0.0005707762557077625,0.0,-0.0005707762557077625
Nanomedicine,0.0005707762557077625,0.0,-0.0005707762557077625
Conversational Banking,0.0005707762557077625,0.0,-0.0005707762557077625
Trust & Safety,0.0005707762557077625,0.0,-0.0005707762557077625
Social,0.005271846216342327,0.004647413911373303,-0.0006244323049690243
Recruiting,0.006611514121822889,0.005970272914955197,-0.0006412412068676921
DevSecOps,0.003425686957333793,0.002775059629380466,-0.0006506273279533268
Social Network,0.0023801499705114163,0.0016891891891891893,-0.000690960781322227
CRISPR,0.0007485029940119761,0.0,-0.0007485029940119761
AR,0.0007485029940119761,0.0,-0.0007485029940119761
Neurotechnology,0.0007485029940119761,0.0,-0.0007485029940119761
Booking,0.0007485029940119761,0.0,-0.0007485029940119761
Video,0.013573209176465865,0.012780853142298926,-0.0007923560341669394
Human Resources,0.0020764405845051007,0.0012690355329949238,-0.000807405051510177
SMB,0.0025330047316553484,0.0016891891891891893,-0.0008438155424661592
Fundraising,0.0009124087591240876,0.0,-0.0009124087591240876
Gene Therapy,0.00221074766376705,0.0012690355329949238,-0.0009417121307721261
Emerging Markets,0.00221074766376705,0.0012626262626262627,-0.0009481214011407872
Warehouse Management Tech,0.0009602366376265599,0.0,-0.0009602366376265599
Conversational AI,0.015258962029364822,0.014286877238684468,-0.0009720847906803543
Cell Therapy,0.0009903924137500781,0.0,-0.0009903924137500781
Civic Tech,0.0010080645161290322,0.0,-0.0010080645161290322
India,0.0010269806352698062,0.0,-0.0010269806352698062
Hydrogen Energy,0.0010269806352698062,0.0,-0.0010269806352698062
Navigation,0.0010382202922525504,0.0,-0.0010382202922525504
Podcasts,0.0010382202922525504,0.0,-0.0010382202922525504
Space Exploration,0.0010382202922525504,0.0,-0.0010382202922525504
Sustainable Fashion,0.0010683760683760685,0.0,-0.0010683760683760685
Virtual Reality,0.0010683760683760685,0.0,-0.0010683760683760685
Femtech,0.0010683760683760685,0.0,-0.0010683760683760685
Remittances,0.0010727842878362765,0.0,-0.0010727842878362765
Medical Robotics,0.0011049642898957968,0.0,-0.0011049642898957968
Personalization,0.00125051102614049,0.0,-0.00125051102614049
eLearning,0.0027658760430318606,0.0015060240963855422,-0.0012598519466463184
Email,0.004092395034376591,0.0027686503590118048,-0.0013237446753647866
IoT,0.0013297872340425532,0.0,-0.0013297872340425532
Live,0.0013297872340425532,0.0,-0.0013297872340425532
